B1,B2,B3,B4,A1,class
30.997,80,34704,6,264,0
9.016,22,54787,19,3185,0
9.016,54787,22,15,2163,0
9.643,39611,22,12,2656,0
9.643,22,39611,16,4373,0
11.429,39933,22,6,329,0
11.429,22,39933,11,5545,0
10.284,35712,22,17,2267,0
10.284,22,35712,19,3185,0
0,5063,5060,1,434,0
0,0,3.3,1,462,0
20.964,22,36061,31,4121,0
20.964,36061,22,30,3531,0
9.559,22,60984,19,3185,0
9.559,60984,22,15,2163,0
0,5083,5060,1,437,0
0,0,3.3,1,465,0
10.329,35487,22,18,2327,0
10.329,22,35487,21,3305,0
9.633,22,47635,19,3185,0
9.633,47635,22,15,2163,0
16.972,7244,22,24,2932,0
16.972,22,7244,26,3745,0
30.998,59266,80,1,46,0
30.998,80,59266,6,264,0
18.187,29966,22,24,2964,0
18.187,22,29966,26,3745,0
6.751,12948,22,8,501,0
6.751,22,12948,10,1684,0
18.909,18932,22,10,1577,0
18.909,22,18932,9,2393,0
5.107,8000,59374,3,132,0
5.107,59374,8000,5,314,0
9.461,22,57103,19,3185,0
9.461,57103,22,17,2267,0
9.814,22,43583,19,3185,0
9.814,43583,22,17,2267,0
0.976,22,47470,5,1285,0
0.976,47470,22,6,340,0
0.274,47029,22,2,92,0
0.274,22,47029,1,44,0
0,15553,23,1,46,0
0,23,15553,1,40,0
120.953,15271,22,4,225,0
120.953,22,15271,10,6630,0
0,1024,36600,1,40,0
0,36600,1024,1,60,0
0,15701,23,1,46,0
0,23,15701,1,40,0
30.996,193,80,1,46,0
30.996,80,193,6,264,0
5.393,16876,22,6,359,0
5.393,22,16876,5,1326,0
18.563,29802,22,26,3052,0
18.563,22,29802,26,3745,0
30.998,4150,80,1,46,0
30.998,80,4150,6,264,0
18.09,41058,22,24,2883,0
18.09,22,41058,26,3745,0
19.289,35267,22,24,2883,0
19.289,22,35267,26,3745,0
8.503,42955,22,15,2163,0
8.503,22,42955,19,3185,0
7.49,59522,22,3,166,0
7.49,22,59522,5,300,0
19.121,23950,22,24,2900,0
19.121,22,23950,26,3745,0
4.43,54634,22,12,1824,0
4.43,22,54634,13,2185,0
125.16,15840,22,7,1029,0
125.16,22,15840,9,1493,0
0,23,62848,1,40,0
0,62848,23,1,46,0
0,40466,23,1,46,0
0,23,40466,1,40,0
9.969,22,41335,19,3185,0
9.969,41335,22,17,2267,0
9.819,22,44401,19,3185,0
9.819,44401,22,17,2283,0
123.951,26001,22,3,164,0
123.951,22,26001,9,697,0
123.426,10869,22,5,283,0
123.426,22,10869,16,8797,0
9.65,22,50003,19,3185,0
9.65,50003,22,15,2163,0
0,39968,23,1,46,0
0,23,39968,1,40,0
0.934,22,55731,5,1285,0
0.934,55731,22,6,340,0
0,5351,5060,1,442,0
0,0,3.3,1,470,0
0.371,58848,22,12,1457,0
0.371,22,58848,11,2497,0
13.785,43433,22,15,2191,0
13.785,22,43433,23,3606,0
0.07,59253,3671,2,92,0
0.07,3671,59253,1,40,0
0,59119,3306,1,46,0
0,3306,59119,1,40,0
22.273,7431,22,28,3380,0
22.273,22,7431,30,3953,0
9.619,22,49040,19,3185,0
9.619,49040,22,17,2267,0
9.112,22,46465,19,3185,0
9.112,46465,22,15,2163,0
0,0,8,1,46,0
0,0,0,1,32,0
2.412,33905,22,13,1593,0
2.412,22,33905,12,2617,0
14.392,25649,22,13,1804,0
14.392,22,25649,17,5587,0
0,50096,23,1,46,0
0,23,50096,1,40,0
121.481,45771,22,5,291,0
121.481,22,45771,14,8601,0
9.435,35575,22,17,2267,0
9.435,22,35575,19,3197,0
9.696,22,38016,19,3185,0
9.696,38016,22,15,2163,0
15.483,27786,22,13,1857,0
15.483,22,27786,15,3945,0
2.498,60551,22,12,1345,0
2.498,22,60551,14,2153,0
31,5772,80,1,46,0
31,80,5772,6,264,0
0.961,22,56421,5,1285,0
0.961,56421,22,6,340,0
19.071,20026,22,24,2916,0
19.071,22,20026,26,3745,0
30.999,21604,22,1,46,0
30.999,22,21604,6,264,0
14.17,1949,22,16,2917,0
14.17,22,1949,18,2985,0
8.899,22,55480,19,3185,0
8.899,55480,22,15,2163,0
0,173,5358,1,46,0
0,5358,173,1,40,0
20.664,57672,22,24,2883,0
20.664,22,57672,29,5921,0
14.139,22,25487,11,2477,0
14.139,25487,22,10,1490,0
9.89,38253,22,21,2811,0
9.89,22,38253,24,3561,0
20.693,22,26702,29,4009,0
20.693,26702,22,28,3287,0
0.001,39105,5358,1,46,0
0.001,5358,39105,1,40,0
20.282,57882,22,4,257,0
20.282,22,57882,8,1481,0
71.741,24721,22,7,474,0
71.741,22,24721,15,7902,0
0,5084,5060,1,438,0
0,0,3.3,1,466,0
0,0,8,1,46,0
0,0,0,1,32,0
0,57945,5358,1,46,0
0,5358,57945,1,40,0
5.546,64430,22,7,441,0
5.546,22,64430,8,1564,0
20.389,14800,22,26,3004,0
20.389,22,14800,26,3745,0
0,5358,36833,1,40,0
0,36833,5358,1,46,0
0.952,22,32302,5,1285,0
0.952,32302,22,6,340,0
9.124,56845,22,15,2163,0
9.124,22,56845,19,3185,0
8.924,22,44797,19,3185,0
8.924,44797,22,15,2163,0
0,8080,6000,1,40,0
0,6000,8080,1,46,0
15.325,52920,22,17,2287,0
15.325,22,52920,23,3524,0
826.125,403,80,6,276,0
826.125,80,403,14,616,0
0,28284,5358,1,46,0
0,5358,28284,1,40,0
20.16,22,57275,26,3745,0
20.16,57275,22,24,2883,0
0,54270,2376,1,46,0
0,2376,54270,1,40,0
9.607,22,53410,19,3185,0
9.607,53410,22,17,2267,0
9.412,56818,22,15,2163,0
9.412,22,56818,19,3185,0
0,45313,23,1,46,0
0,23,45313,1,40,0
3.376,37974,22,2,92,0
3.376,22,37974,3,132,0
2.875,47697,22,12,1811,0
2.875,22,47697,14,2721,0
68.481,41741,22,4,263,0
68.481,22,41741,12,5741,0
11.459,18686,22,19,3055,0
11.459,22,18686,16,3029,0
6.412,13379,22,7,372,0
6.412,22,13379,6,467,0
30.999,46182,80,1,46,0
30.999,80,46182,6,264,0
121.885,28370,22,5,262,0
121.885,22,28370,5,309,0
63.507,33367,22,6,382,0
63.507,22,33367,14,6866,0
2.341,52088,22,13,1593,0
2.341,22,52088,13,2669,0
20.644,22,49574,26,3745,0
20.644,49574,22,24,2889,0
5.096,8000,59585,3,132,0
5.096,59585,8000,5,314,0
8.511,22,51071,19,3185,0
8.511,51071,22,17,2267,0
1.166,55735,9981,3,152,0
1.166,9981,55735,3,120,0
0.001,56116,23,1,46,0
0.001,23,56116,1,40,0
0,29735,2323,1,46,0
0,2323,29735,1,40,0
0,56029,19,1,46,0
0,0,3.3,2,137,0
0,38679,520,1,52,0
4.542,55640,22,12,1808,0
4.542,22,55640,13,2185,0
18.609,22,43664,27,3865,0
18.609,43664,22,24,2921,0
0.956,22,65374,5,1285,0
0.956,65374,22,6,340,0
8.842,31481,22,15,2163,0
8.842,22,31481,19,3185,0
7.482,59616,22,3,166,0
7.482,22,59616,5,300,0
15.42,22,4589,19,3093,0
15.42,4589,22,13,2843,0
3.497,445,1665,3,120,0
3.497,1665,445,3,144,0
21.282,22,51379,26,3745,0
21.282,51379,22,24,2918,0
0.264,50173,22,2,92,0
0.264,22,50173,1,44,0
21.836,37291,22,27,3307,0
21.836,22,37291,30,4057,0
145.651,2323,19303,2,80,0
145.651,19303,2323,2,92,0
8.676,58158,22,15,1739,0
8.676,22,58158,15,2677,0
8.762,22,50950,19,3185,0
8.762,50950,22,17,2267,0
12.555,22,1441,18,2985,0
12.555,1441,22,13,2843,0
70.073,61118,22,7,426,0
70.073,22,61118,13,5875,0
16.143,36580,22,6,344,0
16.143,22,36580,11,5684,0
10.244,22,58934,19,3185,0
10.244,58934,22,15,2163,0
10.061,22,39371,20,3249,0
10.061,39371,22,17,2277,0
0,5358,20240,1,40,0
0,20240,5358,1,46,0
10.146,22,59323,17,3081,0
10.146,59323,22,14,2111,0
6.897,17417,22,9,1789,0
6.897,22,17417,12,4605,0
15.445,57171,22,2,106,0
15.445,22,57171,5,300,0
9.89,22,53674,19,3185,0
9.89,53674,22,15,2163,0
90.878,52728,22,5,346,0
90.878,22,52728,12,7763,0
5.464,47960,22,7,459,0
5.464,22,47960,6,1419,0
30.996,28678,80,1,46,0
30.996,80,28678,6,264,0
18.9,22,35331,26,3745,0
18.9,35331,22,24,2901,0
120.464,23464,22,3,179,0
120.464,22,23464,10,6630,0
0.001,7777,19142,1,46,0
0.001,19142,7777,1,40,0
0,6056,5060,1,442,0
0,0,3.3,1,470,0
18.798,22,61914,26,3745,0
18.798,61914,22,24,2889,0
9.272,22,35283,19,3185,0
9.272,35283,22,17,2267,0
11.204,35399,22,17,2267,0
11.204,22,35399,19,3185,0
11.411,22,39509,19,3185,0
11.411,39509,22,19,2371,0
11.288,46324,22,17,2137,0
11.288,22,46324,21,3357,0
20.036,22,30912,26,3745,0
20.036,30912,22,24,2921,0
0,8830,23,1,46,0
0,23,8830,1,40,0
2.095,50280,22,13,1609,0
2.095,22,50280,13,2669,0
19.401,31940,22,26,3022,0
19.401,22,31940,26,3745,0
122.891,52097,22,6,314,0
122.891,22,52097,7,473,0
0,45259,2375,1,46,0
0,2375,45259,1,40,0
10.056,22,48119,19,3185,0
10.056,48119,22,17,2267,0
9.985,22,60598,19,3185,0
9.985,60598,22,15,2163,0
9.052,36090,22,17,2451,0
9.052,22,36090,22,4341,0
20.781,22,60389,31,4193,0
20.781,60389,22,29,3397,0
9.07,22,49122,19,3185,0
9.07,49122,22,17,2267,0
0.054,8000,57463,7,556,1
0.054,57463,8000,6,515,1
8.341,22,57367,19,3185,0
8.341,57367,22,15,2179,0
0.054,8000,49371,7,556,1
0.054,49371,8000,6,515,1
0.059,8000,50397,7,556,1
0.059,50397,8000,6,515,1
0.05,8000,54969,7,556,1
0.05,54969,8000,6,515,1
0,51285,23,1,46,0
0,23,51285,1,40,0
8.998,22,39451,19,3185,0
8.998,39451,22,15,2163,0
9.179,22,44673,19,3185,0
9.179,44673,22,17,2267,0
9.037,22,37207,19,3185,0
9.037,37207,22,20,2423,0
0,64698,23,1,46,0
0,23,64698,1,40,0
44.391,47331,22,7,389,0
44.391,22,47331,12,7561,0
9.94,22,40412,19,3185,0
9.94,40412,22,15,2163,0
0,37558,1900,1,122,0
0,0,3.3,1,150,0
6.601,40011,22,12,1872,0
6.601,22,40011,14,2529,0
17.928,46983,22,17,1988,0
17.928,22,46983,23,3545,0
0.117,49214,3392,2,92,0
0.117,3392,49214,1,40,0
0.985,22,32993,5,1285,0
0.985,32993,22,6,340,0
0.001,64651,7547,1,46,0
0.001,7547,64651,1,40,0
13.7,22,1779,18,2985,0
13.7,1779,22,15,2871,0
0.06,8000,54970,7,702,1
0.06,54970,8000,6,586,1
0.067,8000,57464,7,702,1
0.067,57464,8000,6,586,1
30.999,84,80,3,138,0
30.999,80,84,7,308,0
0.079,8000,49372,7,702,1
0.079,49372,8000,6,586,1
0.071,8000,50398,7,702,1
0.071,50398,8000,6,586,1
5.475,46485,22,4,255,0
5.475,22,46485,4,265,0
1.639,2501,445,3,144,0
1.639,445,2501,3,120,0
9.894,22,36651,19,3185,0
9.894,36651,22,17,2267,0
17.798,22,29802,26,3745,0
17.798,29802,22,24,2918,0
0.001,4932,23,1,46,0
0.001,23,4932,1,40,0
9.535,22,51200,19,3185,0
9.535,51200,22,15,2163,0
0,2222,61021,1,40,0
0,61021,2222,1,46,0
10.364,22,33049,19,3185,0
10.364,33049,22,17,2267,0
0,23176,7547,1,46,0
0,7547,23176,1,40,0
9.976,42573,22,15,2163,0
9.976,22,42573,20,4085,0
2.706,39623,22,13,1593,0
2.706,22,39623,13,2669,0
19.405,22,10690,26,3745,0
19.405,10690,22,24,2899,0
9.795,22,45392,19,3185,0
9.795,45392,22,17,2267,0
5.403,10021,22,6,359,0
5.403,22,10021,5,2302,0
9.378,40295,22,17,2267,0
9.378,22,40295,19,3185,0
3.579,56370,22,12,1824,0
3.579,22,56370,13,2185,0
0,28677,23,1,46,0
0,23,28677,1,40,0
0.053,8000,50190,7,556,1
0.053,50190,8000,6,515,1
0.063,8000,50191,7,702,1
0.063,50191,8000,6,586,1
0.048,8000,57145,7,556,1
0.048,57145,8000,6,515,1
0.061,8000,57146,7,702,1
0.061,57146,8000,6,586,1
0.057,8000,62543,7,556,1
0.057,62543,8000,6,515,1
0.068,8000,62544,7,702,1
0.068,62544,8000,6,586,1
0.049,8000,63896,7,556,1
0.049,63896,8000,6,515,1
0.057,8000,63897,7,702,1
0.057,63897,8000,6,586,1
0.051,8000,57746,7,556,1
0.051,57746,8000,6,515,1
0.071,8000,57747,7,702,1
0.071,57747,8000,6,586,1
0.051,8000,62239,7,556,1
0.051,62239,8000,6,515,1
0.053,8000,55602,7,556,1
0.053,55602,8000,6,515,1
0.067,8000,55603,7,702,1
0.067,55603,8000,6,586,1
0.052,8000,56745,7,556,1
0.052,56745,8000,6,515,1
0.059,8000,56746,7,702,1
0.059,56746,8000,6,586,1
135.064,8000,56747,2,92,1
135.064,56747,8000,4,190,1
0.061,8000,63069,7,556,1
0.061,63069,8000,6,515,1
0.065,8000,63070,7,702,1
0.065,63070,8000,6,586,1
0.053,8000,56175,7,556,1
0.053,56175,8000,6,515,1
0.067,8000,56176,7,702,1
0.067,56176,8000,6,586,1
135.073,8000,56177,2,92,1
135.073,56177,8000,4,190,1
0.056,8000,57209,7,556,1
0.056,57209,8000,6,515,1
0.075,8000,57210,7,702,1
0.075,57210,8000,6,586,1
0.055,8000,58241,7,556,1
0.055,58241,8000,6,515,1
0.069,8000,58242,7,702,1
0.069,58242,8000,6,586,1
0.051,8000,59294,7,556,1
0.051,59294,8000,6,515,1
0.062,8000,59295,7,702,1
0.062,59295,8000,6,586,1
135.077,8000,59296,2,92,1
135.077,59296,8000,4,190,1
0.049,8000,60326,7,556,1
0.049,60326,8000,6,515,1
0.062,8000,60327,7,702,1
0.062,60327,8000,6,586,1
0.046,8000,61358,7,556,1
0.046,61358,8000,6,515,1
0.06,8000,61360,7,702,1
0.06,61360,8000,6,586,1
135.076,8000,61359,2,92,1
135.076,61359,8000,4,190,1
0.054,8000,62393,7,556,1
0.054,62393,8000,6,515,1
0.074,8000,62394,7,702,1
0.074,62394,8000,6,586,1
0.055,8000,63425,7,556,1
0.055,63425,8000,6,515,1
0.071,8000,63426,7,702,1
0.071,63426,8000,6,586,1
0.048,8000,64456,7,556,1
0.048,64456,8000,6,515,1
0.062,8000,64457,7,702,1
0.062,64457,8000,6,586,1
135.077,8000,64458,2,92,1
135.077,64458,8000,4,190,1
0.05,8000,65488,7,556,1
0.05,65488,8000,6,515,1
0.062,8000,65489,7,702,1
0.062,65489,8000,6,586,1
135.077,8000,65490,2,92,1
135.077,65490,8000,4,190,1
0.05,8000,50180,7,556,1
0.05,50180,8000,6,515,1
0.076,8000,50181,7,702,1
0.076,50181,8000,5,540,1
135.094,8000,50182,2,92,1
135.094,50182,8000,4,190,1
0.056,8000,51221,7,556,1
0.056,51221,8000,6,515,1
0.066,8000,51222,7,702,1
0.066,51222,8000,6,586,1
0.053,8000,52255,7,556,1
0.053,52255,8000,6,515,1
0.069,8000,52256,7,702,1
0.069,52256,8000,6,586,1
135.076,8000,52257,2,92,1
135.076,52257,8000,4,190,1
0.053,8000,53285,7,556,1
0.053,53285,8000,6,515,1
0.074,8000,53286,7,702,1
0.074,53286,8000,6,586,1
6.386,49487,22,7,1029,0
6.386,22,49487,9,4421,0
19.999,29350,22,24,2918,0
19.999,22,29350,26,3745,0
1.224,445,3650,3,120,0
1.224,3650,445,3,144,0
20.778,1952,22,25,3019,0
20.778,22,1952,27,3809,0
135.072,8000,57748,2,92,1
135.072,57748,8000,4,190,1
0.067,8000,62240,7,702,1
0.067,62240,8000,6,586,1
135.073,8000,62241,2,92,1
135.073,62241,8000,4,190,1
135.073,8000,55604,2,92,1
135.073,55604,8000,4,190,1
135.067,8000,63071,2,92,1
135.067,63071,8000,4,190,1
135.072,8000,57211,2,92,1
135.072,57211,8000,4,190,1
135.084,8000,58243,2,92,1
135.084,58243,8000,4,190,1
135.076,8000,60328,2,92,1
135.076,60328,8000,4,190,1
135.076,8000,62395,2,92,1
135.076,62395,8000,4,190,1
135.071,8000,63427,3,132,1
135.071,63427,8000,4,190,1
135.073,8000,51223,2,92,1
135.073,51223,8000,4,190,1
135.087,8000,53287,2,92,1
135.087,53287,8000,4,190,1
30.997,68,80,1,46,0
30.997,80,68,6,264,0
5.101,8000,59795,3,132,0
5.101,59795,8000,5,314,0
0,5332,5060,1,443,0
0,0,3.3,1,471,0
0,23,44943,1,40,0
0,44943,23,1,46,0
0,43751,5358,1,46,0
0,5358,43751,1,40,0
22.526,52232,22,27,3056,0
22.526,22,52232,26,3745,0
10.13,35284,22,15,2169,0
10.13,22,35284,19,3265,0
100.062,63172,80,6,387,0
100.062,80,63172,5,779,0
19.213,51385,22,28,3276,0
19.213,22,51385,28,3873,0
6.47,51741,22,6,367,0
6.47,22,51741,7,2422,0
2.983,49208,22,12,1361,0
2.983,22,49208,14,2153,0
9.052,57121,22,6,329,0
9.052,22,57121,9,4474,0
0,5254,5060,1,441,0
0,0,3.3,1,469,0
23.418,21066,22,28,3243,0
23.418,22,21066,31,4233,0
30.997,4227,80,1,46,0
30.997,80,4227,6,264,0
0.012,3398,51893,1,40,0
0.012,51893,3398,2,92,0
121.9,29800,22,5,268,0
121.9,22,29800,6,434,0
18.928,2650,22,16,3107,0
18.928,22,2650,21,3158,0
9.767,22,48659,19,3185,0
9.767,48659,22,15,2163,0
24.852,43992,22,5,285,0
24.852,22,43992,11,4672,0
9.283,22,54381,20,3249,0
9.283,54381,22,17,2267,0
9.66,22,47679,19,3185,0
9.66,47679,22,17,2267,0
9.606,22,51334,19,3185,0
9.606,51334,22,15,2163,0
19.127,22,13117,26,3745,0
19.127,13117,22,26,2993,0
20.242,16750,22,26,3016,0
20.242,22,16750,27,3865,0
0.001,53,52125,1,250,0
0.001,52125,53,1,68,0
0,53,56472,1,129,0
0,56472,53,1,68,0
5.113,443,56356,9,5455,0
5.113,56356,443,12,1710,0
0,39727,23,1,46,0
0,23,39727,1,40,0
10.098,22,56211,19,3185,0
10.098,56211,22,18,2335,0
9.038,40670,22,17,2267,0
9.038,22,40670,19,3185,0
20.964,36480,22,26,3036,0
20.964,22,36480,26,3745,0
1.87,45528,22,12,1586,0
1.87,22,45528,12,2545,0
10.271,22,52033,19,3185,0
10.271,52033,22,18,2319,0
8.496,22,53332,19,3185,0
8.496,53332,22,15,2163,0
5.627,37321,22,7,441,0
5.627,22,37321,8,1564,0
2.653,41807,22,13,1593,0
2.653,22,41807,12,2617,0
16.386,27017,22,5,270,0
16.386,22,27017,8,604,0
30.997,10359,80,1,46,0
30.997,80,10359,6,264,0
18.003,10188,22,24,2900,0
18.003,22,10188,26,3745,0
139.778,32595,22,5,292,0
139.778,22,32595,11,787,0
9.13,22,43504,19,3185,0
9.13,43504,22,15,2163,0
20.077,22,52204,26,3745,0
20.077,52204,22,24,2899,0
9.867,16371,22,17,2267,0
9.867,22,16371,19,3185,0
5.44,53981,22,2,112,0
5.44,22,53981,3,180,0
20.45,34212,22,24,2916,0
20.45,22,34212,26,3745,0
0,1128,23,1,46,0
0,23,1128,1,40,0
0,39187,2323,1,46,0
0,2323,39187,1,40,0
0,5065,5060,1,443,0
0,0,3.3,1,471,0
9.623,22,49250,19,3185,0
9.623,49250,22,15,2163,0
5.941,11659,22,7,1035,0
5.941,22,11659,7,3341,0
8.981,22,56805,19,3185,0
8.981,56805,22,17,2267,0
0,46176,6379,1,46,0
0,6379,46176,1,40,0
0,44570,110,1,46,0
0,110,44570,1,40,0
4.387,57004,22,12,1808,0
4.387,22,57004,14,2517,0
120.88,63718,22,5,925,0
120.88,22,63718,13,8533,0
0,23,15652,1,40,0
0,15652,23,1,46,0
0,51727,5358,1,46,0
0,5358,51727,1,40,0
9.721,22,53725,19,3185,0
9.721,53725,22,15,2163,0
0,24005,23,1,46,0
0,23,24005,1,40,0
30.997,36516,80,1,46,0
30.997,80,36516,6,264,0
56.239,42049,22,7,459,0
56.239,22,42049,11,5689,0
9.491,56928,22,17,2267,0
9.491,22,56928,19,3185,0
8.653,22,56481,19,3185,0
8.653,56481,22,17,2267,0
5.953,14343,22,6,377,0
5.953,22,14343,6,2354,0
0.967,22,41945,5,1285,0
0.967,41945,22,6,340,0
0,0,8,1,46,0
0,0,0,1,36,0
0.727,4144,445,2,96,0
0.727,445,4144,2,80,0
0,16078,623,1,51,0
0,0,3.3,1,79,0
9.266,40270,22,11,1824,0
9.266,22,40270,14,3237,0
8.947,58756,22,14,1731,0
8.947,22,58756,13,2585,0
0.368,60397,22,12,1457,0
0.368,22,60397,10,2445,0
0,10010,8080,1,48,0
0,8080,10010,1,40,0
9.535,22,54647,19,3185,0
9.535,54647,22,15,2163,0
16.212,59695,22,15,2163,0
16.212,22,59695,23,3461,0
0,12810,2323,1,46,0
0,2323,12810,1,40,0
0,1572,2628,1,46,0
0,2628,1572,1,40,0
13.295,18320,22,19,2461,0
13.295,22,18320,25,3644,0
6.595,36865,22,15,1865,0
6.595,22,36865,17,3013,0
30.998,49169,80,1,46,0
30.998,80,49169,6,264,0
5.123,8000,60005,3,132,0
5.123,60005,8000,5,314,0
10.582,57975,22,18,2423,0
10.582,22,57975,23,3462,0
0,5283,5060,1,437,0
0,0,3.3,1,465,0
0,9568,5050,1,466,0
0,0,3.3,1,494,0
8.652,37227,22,15,2163,0
8.652,22,37227,20,3249,0
0,58046,5358,1,46,0
0,5358,58046,1,40,0
0,45132,23,1,46,0
0,23,45132,1,40,0
120.4,41810,22,5,283,0
120.4,22,41810,13,8605,0
19.034,22,30898,26,3745,0
19.034,30898,22,26,2987,0
10.29,22,11397,27,5673,0
10.29,11397,22,18,2721,0
0,22223,5905,1,46,0
0,5905,22223,1,40,0
9.283,22,39244,19,3185,0
9.283,39244,22,15,2163,0
8.289,22,57772,19,3185,0
8.289,57772,22,15,2163,0
8.382,19270,22,17,2279,0
8.382,22,19270,21,3353,0
0.029,55903,55589,2,92,0
0.029,55589,55903,1,40,0
13.196,22,3277,18,2985,0
13.196,3277,22,13,2971,0
11.219,22,46346,19,3185,0
11.219,46346,22,15,2163,0
0,46464,23,1,46,0
0,23,46464,1,40,0
0,23,37879,1,40,0
0,37879,23,1,46,0
10.27,22,56199,19,3185,0
10.27,56199,22,17,2267,0
0,40521,1900,1,122,0
0,0,3.3,1,150,0
10.061,22,39488,19,3185,0
10.061,39488,22,17,2267,0
9.565,52114,22,17,2261,0
9.565,22,52114,20,3237,0
6.191,37691,22,6,329,0
6.191,22,37691,8,4369,0
11.746,58768,22,9,501,0
11.746,22,58768,11,3581,0
0.97,22,17825,5,1285,0
0.97,17825,22,6,340,0
20.432,22,60723,26,3745,0
20.432,60723,22,26,3038,0
0,33649,23,1,46,0
0,23,33649,1,40,0
21.961,56016,22,29,3328,0
21.961,22,56016,28,3873,0
23.77,39678,22,28,3124,0
23.77,22,39678,26,3745,0
120.472,37663,22,4,231,0
120.472,22,37663,12,8481,0
13.83,4616,22,15,2871,0
13.83,22,4616,20,3065,0
6.326,49284,22,6,314,0
6.326,22,49284,4,281,0
9.432,22,36065,20,3237,0
9.432,36065,22,16,2203,0
9.901,44438,22,16,2223,0
9.901,22,44438,20,3245,0
20.855,22,44407,26,3745,0
20.855,44407,22,26,3022,0
30.996,31668,80,1,46,0
30.996,80,31668,6,264,0
18.811,25424,22,26,3084,0
18.811,22,25424,26,3745,0
9.085,22,47938,19,3185,0
9.085,47938,22,15,2163,0
8.511,22,42739,20,3249,0
8.511,42739,22,17,2267,0
11.531,60853,22,15,2163,0
11.531,22,60853,20,4213,0
0,443,62079,1,46,0
0,62079,443,1,40,0
121.467,49703,22,6,355,0
121.467,22,49703,17,8839,0
18.77,22,63922,26,3745,0
18.77,63922,22,24,2918,0
120.937,23920,22,5,268,0
120.937,22,23920,4,281,0
120.921,63979,22,6,977,0
120.921,22,63979,13,8533,0
121.943,62110,22,5,268,0
121.943,22,62110,5,341,0
9.33,22,56030,19,3185,0
9.33,56030,22,17,2267,0
0.001,52416,5358,1,46,0
0.001,5358,52416,1,40,0
4.005,58022,22,12,1808,0
4.005,22,58022,13,2185,0
16.288,8452,22,24,2916,0
16.288,22,8452,26,3745,0
9.141,22,41293,19,3185,0
9.141,41293,22,15,2163,0
11.409,22,36626,20,4225,0
11.409,36626,22,17,2279,0
19.654,35738,22,24,2900,0
19.654,22,35738,26,3745,0
10.263,22,43066,19,3185,0
10.263,43066,22,15,2163,0
79.811,19084,22,5,346,0
79.811,22,19084,12,7763,0
10.735,22,43271,19,3185,0
10.735,43271,22,15,2163,0
30.999,307,80,3,138,0
30.999,80,307,7,308,0
11.052,45081,22,17,2267,0
11.052,22,45081,19,3185,0
18.505,56248,22,26,2987,0
18.505,22,56248,26,3745,0
21.715,18571,22,28,3276,0
21.715,22,18571,30,4097,0
